date,experiment,library,antibody,concentration,sort_bin,HutchBase,experiment_type,number_cells,frac_escape,sample,R1
210930,TiteSeq,lib2,monomeric_ACE2,1,3,211004_s10-b3,TiteSeq,"1,440,735",NA,TiteSeq_01_bin3,
210930,TiteSeq,lib2,monomeric_ACE2,1,4,211004_s10-b4,TiteSeq,"6,805,287",NA,TiteSeq_01_bin4,
210930,TiteSeq,lib2,monomeric_ACE2,2,1,211004_s11-b1,TiteSeq,"1,503,469",NA,TiteSeq_02_bin1,
210930,TiteSeq,lib2,monomeric_ACE2,2,2,211004_s11-b2,TiteSeq,"1,195,636",NA,TiteSeq_02_bin2,
210930,TiteSeq,lib2,monomeric_ACE2,2,3,211004_s11-b3,TiteSeq,"1,369,891",NA,TiteSeq_02_bin3,
210930,TiteSeq,lib2,monomeric_ACE2,2,4,211004_s11-b4,TiteSeq,"6,199,468",NA,TiteSeq_02_bin4,
210930,TiteSeq,lib2,monomeric_ACE2,3,1,211004_s12-b1,TiteSeq,"2,516,347",NA,TiteSeq_03_bin1,
210930,TiteSeq,lib2,monomeric_ACE2,3,2,211004_s12-b2,TiteSeq,"1,563,793",NA,TiteSeq_03_bin2,
210930,TiteSeq,lib2,monomeric_ACE2,3,3,211004_s12-b3,TiteSeq,"2,866,509",NA,TiteSeq_03_bin3,
210930,TiteSeq,lib2,monomeric_ACE2,3,4,211004_s12-b4,TiteSeq,"3,348,279",NA,TiteSeq_03_bin4,
210930,TiteSeq,lib2,monomeric_ACE2,4,1,211004_s13-b1,TiteSeq,"3,995,432",NA,TiteSeq_04_bin1,
210930,TiteSeq,lib2,monomeric_ACE2,4,2,211004_s13-b2,TiteSeq,"3,771,838",NA,TiteSeq_04_bin2,
210930,TiteSeq,lib2,monomeric_ACE2,4,3,211004_s13-b3,TiteSeq,"2,599,381",NA,TiteSeq_04_bin3,
210930,TiteSeq,lib2,monomeric_ACE2,4,4,211004_s13-b4,TiteSeq,"21,124",NA,TiteSeq_04_bin4,
210930,TiteSeq,lib2,monomeric_ACE2,5,1,211004_s14-b1,TiteSeq,"8,309,153",NA,TiteSeq_05_bin1,
210930,TiteSeq,lib2,monomeric_ACE2,5,2,211004_s14-b2,TiteSeq,"1,832,983",NA,TiteSeq_05_bin2,
210930,TiteSeq,lib2,monomeric_ACE2,5,3,211004_s14-b3,TiteSeq,"13,763",NA,TiteSeq_05_bin3,
210930,TiteSeq,lib2,monomeric_ACE2,5,4,211004_s14-b4,TiteSeq,"1,139",NA,TiteSeq_05_bin4,
210930,TiteSeq,lib2,monomeric_ACE2,6,1,211004_s15-b1,TiteSeq,"9,251,911",NA,TiteSeq_06_bin1,
210930,TiteSeq,lib2,monomeric_ACE2,6,2,211004_s15-b2,TiteSeq,"877,051",NA,TiteSeq_06_bin2,
210930,TiteSeq,lib2,monomeric_ACE2,6,3,211004_s15-b3,TiteSeq,"1,314",NA,TiteSeq_06_bin3,
210930,TiteSeq,lib2,monomeric_ACE2,6,4,211004_s15-b4,TiteSeq,521,NA,TiteSeq_06_bin4,
210930,TiteSeq,lib2,monomeric_ACE2,7,1,211004_s16-b1,TiteSeq,"9,666,170",NA,TiteSeq_07_bin1,
210930,TiteSeq,lib2,monomeric_ACE2,7,2,211004_s16-b2,TiteSeq,"751,446",NA,TiteSeq_07_bin2,
210930,TiteSeq,lib2,monomeric_ACE2,7,3,211004_s16-b3,TiteSeq,502,NA,TiteSeq_07_bin3,
210930,TiteSeq,lib2,monomeric_ACE2,7,4,211004_s16-b4,TiteSeq,461,NA,TiteSeq_07_bin4,
210930,TiteSeq,lib2,monomeric_ACE2,8,1,211004_s17-b1,TiteSeq,"9,585,938",NA,TiteSeq_08_bin1,
210930,TiteSeq,lib2,monomeric_ACE2,8,2,211004_s17-b2,TiteSeq,"597,086",NA,TiteSeq_08_bin2,
210930,TiteSeq,lib2,monomeric_ACE2,8,3,211004_s17-b3,TiteSeq,450,NA,TiteSeq_08_bin3,
210930,TiteSeq,lib2,monomeric_ACE2,8,4,211004_s17-b4,TiteSeq,446,NA,TiteSeq_08_bin4,
210930,TiteSeq,lib2,monomeric_ACE2,9,1,211004_s18-b1,TiteSeq,"9,781,236",NA,TiteSeq_09_bin1,
210930,TiteSeq,lib2,monomeric_ACE2,9,2,211004_s18-b2,TiteSeq,"365,660",NA,TiteSeq_09_bin2,
210930,TiteSeq,lib2,monomeric_ACE2,9,3,211004_s18-b3,TiteSeq,572,NA,TiteSeq_09_bin3,
210930,TiteSeq,lib2,monomeric_ACE2,9,4,211004_s18-b4,TiteSeq,587,NA,TiteSeq_09_bin4,
210927,SortSeq,lib1,NA,NA,1,210927_lib1_bin1,SortSeq,3496000,NA,SortSeq_bin1,
210927,SortSeq,lib1,NA,NA,2,210927_lib1_bin2,SortSeq,5250000,NA,SortSeq_bin2,
210927,SortSeq,lib1,NA,NA,3,210927_lib1_bin3,SortSeq,4056000,NA,SortSeq_bin3,
210927,SortSeq,lib1,NA,NA,4,210927_lib1_bin4,SortSeq,5016000,NA,SortSeq_bin4,
210927,SortSeq,lib2,NA,NA,1,210927_lib2_bin1,SortSeq,3108000,NA,SortSeq_bin1,
210927,SortSeq,lib2,NA,NA,2,210927_lib2_bin2,SortSeq,4554000,NA,SortSeq_bin2,
210927,SortSeq,lib2,NA,NA,3,210927_lib2_bin3,SortSeq,4050000,NA,SortSeq_bin3,
210927,SortSeq,lib2,NA,NA,4,210927_lib2_bin4,SortSeq,5352000,NA,SortSeq_bin4,
