sample
267C_200
268C_500
273C_500
274C_500
276C_500
277C_500
278C_1250
279C_1250
Delta_1_500
Delta_3_350
Delta_4_350
Delta_6_500
Delta_7_1250
Delta_8_500
Delta_10_1250
Delta_11_500
P02_500
P03_1250
P04_1250
P05_500
P08_500
P09_200
P12_200
P14_1250
