library,sample,date,experiment,antibody,concentration,sort_bin,HutchBase,experiment_type,number_cells,frac_escape,R1
lib1,delta_19-268C-500-abneg,211112,delta_19,268C,500.0,abneg,delta_19_lib1_abneg,ab_selection,1012056.0,0.107,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_19_lib1_abneg*R1*.fastq.gz
lib2,delta_19-268C-500-abneg,211112,delta_19,268C,500.0,abneg,delta_19_lib2_abneg,ab_selection,1023050.0,0.119,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_19_lib2_abneg*R1*.fastq.gz
lib1,delta_22-273C-500-abneg,211119,delta_22,273C,500.0,abneg,delta_22_lib1_abneg,ab_selection,1269137.0,0.126,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_22_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_22_lib1_abneg*R1*.fastq.gz
lib2,delta_22-273C-500-abneg,211119,delta_22,273C,500.0,abneg,delta_22_lib2_abneg,ab_selection,1249629.0,0.125,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_22_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_22_lib2_abneg*R1*.fastq.gz
lib1,delta_23-274C-500-abneg,211119,delta_23,274C,500.0,abneg,delta_23_lib1_abneg,ab_selection,1233005.0,0.122,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_23_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_23_lib1_abneg*R1*.fastq.gz
lib2,delta_23-274C-500-abneg,211119,delta_23,274C,500.0,abneg,delta_23_lib2_abneg,ab_selection,1094894.0,0.108,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_23_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_23_lib2_abneg*R1*.fastq.gz
lib1,delta_24-276C-500-abneg,211119,delta_24,276C,500.0,abneg,delta_24_lib1_abneg,ab_selection,1263014.0,0.126,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_24_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_24_lib1_abneg*R1*.fastq.gz
lib2,delta_24-276C-500-abneg,211119,delta_24,276C,500.0,abneg,delta_24_lib2_abneg,ab_selection,1091168.0,0.108,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_24_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_24_lib2_abneg*R1*.fastq.gz
lib1,delta_25-277C-500-abneg,211119,delta_25,277C,500.0,abneg,delta_25_lib1_abneg,ab_selection,1137613.0,0.112,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_25_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_25_lib1_abneg*R1*.fastq.gz
lib2,delta_25-277C-500-abneg,211119,delta_25,277C,500.0,abneg,delta_25_lib2_abneg,ab_selection,1135069.0,0.108,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_25_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_25_lib2_abneg*R1*.fastq.gz
lib1,delta_26-278C-1250-abneg,211119,delta_26,278C,1250.0,abneg,delta_26_lib1_abneg,ab_selection,1106454.0,0.11,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_26_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_26_lib1_abneg*R1*.fastq.gz
lib2,delta_26-278C-1250-abneg,211119,delta_26,278C,1250.0,abneg,delta_26_lib2_abneg,ab_selection,1106060.0,0.106,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_26_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_26_lib2_abneg*R1*.fastq.gz
lib1,delta_20-279C-1250-abneg,211112,delta_20,279C,1250.0,abneg,delta_20_lib1_abneg,ab_selection,1026589.0,0.097,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_20_lib1_abneg*R1*.fastq.gz
lib2,delta_20-279C-1250-abneg,211112,delta_20,279C,1250.0,abneg,delta_20_lib2_abneg,ab_selection,1077475.0,0.097,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_20_lib2_abneg*R1*.fastq.gz
lib1,delta_27-Delta_1-500-abneg,211122,delta_27,Delta_1,500.0,abneg,delta_27_lib1_abneg,ab_selection,1061841.0,0.101,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_27_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_27_lib1_abneg*R1*.fastq.gz
lib2,delta_27-Delta_1-500-abneg,211122,delta_27,Delta_1,500.0,abneg,delta_27_lib2_abneg,ab_selection,1044979.0,0.094,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_27_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_27_lib2_abneg*R1*.fastq.gz
lib1,delta_33-Delta_10-1250-abneg,211122,delta_33,Delta_10,1250.0,abneg,delta_33_lib1_abneg,ab_selection,846975.0,0.084,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_33_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_33_lib1_abneg*R1*.fastq.gz
lib2,delta_33-Delta_10-1250-abneg,211122,delta_33,Delta_10,1250.0,abneg,delta_33_lib2_abneg,ab_selection,749075.0,0.073,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_33_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_33_lib2_abneg*R1*.fastq.gz
lib1,delta_34-Delta_11-500-abneg,211122,delta_34,Delta_11,500.0,abneg,delta_34_lib1_abneg,ab_selection,1017425.0,0.101,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_34_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_34_lib1_abneg*R1*.fastq.gz
lib2,delta_34-Delta_11-500-abneg,211122,delta_34,Delta_11,500.0,abneg,delta_34_lib2_abneg,ab_selection,847856.0,0.084,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_34_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_34_lib2_abneg*R1*.fastq.gz
lib1,delta_28-Delta_3-350-abneg,211122,delta_28,Delta_3,350.0,abneg,delta_28_lib1_abneg,ab_selection,1031277.0,0.096,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_28_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_28_lib1_abneg*R1*.fastq.gz
lib2,delta_28-Delta_3-350-abneg,211122,delta_28,Delta_3,350.0,abneg,delta_28_lib2_abneg,ab_selection,1180295.0,0.098,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_28_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_28_lib2_abneg*R1*.fastq.gz
lib1,delta_29-Delta_4-350-abneg,211122,delta_29,Delta_4,350.0,abneg,delta_29_lib1_abneg,ab_selection,701150.0,0.069,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_29_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_29_lib1_abneg*R1*.fastq.gz
lib2,delta_29-Delta_4-350-abneg,211122,delta_29,Delta_4,350.0,abneg,delta_29_lib2_abneg,ab_selection,693528.0,0.068,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_29_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_29_lib2_abneg*R1*.fastq.gz
lib1,delta_30-Delta_6-500-abneg,211122,delta_30,Delta_6,500.0,abneg,delta_30_lib1_abneg,ab_selection,1093297.0,0.108,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_30_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_30_lib1_abneg*R1*.fastq.gz
lib2,delta_30-Delta_6-500-abneg,211122,delta_30,Delta_6,500.0,abneg,delta_30_lib2_abneg,ab_selection,1091332.0,0.109,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_30_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_30_lib2_abneg*R1*.fastq.gz
lib1,delta_31-Delta_7-1250-abneg,211122,delta_31,Delta_7,1250.0,abneg,delta_31_lib1_abneg,ab_selection,1231047.0,0.099,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_31_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_31_lib1_abneg*R1*.fastq.gz
lib2,delta_31-Delta_7-1250-abneg,211122,delta_31,Delta_7,1250.0,abneg,delta_31_lib2_abneg,ab_selection,926411.0,0.091,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_31_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_31_lib2_abneg*R1*.fastq.gz
lib1,delta_32-Delta_8-500-abneg,211122,delta_32,Delta_8,500.0,abneg,delta_32_lib1_abneg,ab_selection,1024951.0,0.102,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_32_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_32_lib1_abneg*R1*.fastq.gz
lib2,delta_32-Delta_8-500-abneg,211122,delta_32,Delta_8,500.0,abneg,delta_32_lib2_abneg,ab_selection,967074.0,0.095,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_32_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_32_lib2_abneg*R1*.fastq.gz
lib1,delta_35-P02-500-abneg,211124,delta_35,P02,500.0,abneg,delta_35_lib1_abneg,ab_selection,927272.0,0.088,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_35_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_35_lib1_abneg*R1*.fastq.gz
lib2,delta_35-P02-500-abneg,211124,delta_35,P02,500.0,abneg,delta_35_lib2_abneg,ab_selection,808248.0,0.079,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_35_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_35_lib2_abneg*R1*.fastq.gz
lib1,delta_17-P03-1250-abneg,211112,delta_17,P03,1250.0,abneg,delta_17_lib1_abneg,ab_selection,1022039.0,0.094,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_17_lib1_abneg*R1*.fastq.gz
lib2,delta_17-P03-1250-abneg,211112,delta_17,P03,1250.0,abneg,delta_17_lib2_abneg,ab_selection,1012373.0,0.087,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_17_lib2_abneg*R1*.fastq.gz
lib1,delta_36-P04-1250-abneg,211124,delta_36,P04,1250.0,abneg,delta_36_lib1_abneg,ab_selection,1079672.0,0.107,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_36_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_36_lib1_abneg*R1*.fastq.gz
lib2,delta_36-P04-1250-abneg,211124,delta_36,P04,1250.0,abneg,delta_36_lib2_abneg,ab_selection,875369.0,0.087,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_36_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_36_lib2_abneg*R1*.fastq.gz
lib1,delta_37-P05-500-abneg,211124,delta_37,P05,500.0,abneg,delta_37_lib1_abneg,ab_selection,909556.0,0.085,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_37_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_37_lib1_abneg*R1*.fastq.gz
lib2,delta_37-P05-500-abneg,211124,delta_37,P05,500.0,abneg,delta_37_lib2_abneg,ab_selection,892227.0,0.086,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_37_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_37_lib2_abneg*R1*.fastq.gz
lib1,delta_18-P08-500-abneg,211112,delta_18,P08,500.0,abneg,delta_18_lib1_abneg,ab_selection,1015086.0,0.112,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_18_lib1_abneg*R1*.fastq.gz
lib2,delta_18-P08-500-abneg,211112,delta_18,P08,500.0,abneg,delta_18_lib2_abneg,ab_selection,1045993.0,0.121,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_18_lib2_abneg*R1*.fastq.gz
lib1,delta_38-P09-200-abneg,211124,delta_38,P09,200.0,abneg,delta_38_lib1_abneg,ab_selection,964559.0,0.096,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_38_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_38_lib1_abneg*R1*.fastq.gz
lib2,delta_38-P09-200-abneg,211124,delta_38,P09,200.0,abneg,delta_38_lib2_abneg,ab_selection,904976.0,0.089,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_38_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_38_lib2_abneg*R1*.fastq.gz
lib1,delta_39-P12-200-abneg,211124,delta_39,P12,200.0,abneg,delta_39_lib1_abneg,ab_selection,1017353.0,0.101,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_39_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_39_lib1_abneg*R1*.fastq.gz
lib2,delta_39-P12-200-abneg,211124,delta_39,P12,200.0,abneg,delta_39_lib2_abneg,ab_selection,964926.0,0.096,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_39_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_39_lib2_abneg*R1*.fastq.gz
lib1,delta_40-P14-1250-abneg,211124,delta_40,P14,1250.0,abneg,delta_40_lib1_abneg,ab_selection,953329.0,0.094,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_40_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_40_lib1_abneg*R1*.fastq.gz
lib2,delta_40-P14-1250-abneg,211124,delta_40,P14,1250.0,abneg,delta_40_lib2_abneg,ab_selection,872522.0,0.087,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_40_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_40_lib2_abneg*R1*.fastq.gz
