library,sample,date,experiment,antibody,concentration,sort_bin,HutchBase,experiment_type,number_cells,frac_escape,R1
lib1,delta_21-26-none-0-ref,211119,delta_21-26,none,0.0,ref,delta_21-26_lib1_ref,ab_selection,,,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_21-26_lib1_ref*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_21-26_lib1_ref*R1*.fastq.gz
lib2,delta_21-26-none-0-ref,211119,delta_21-26,none,0.0,ref,delta_21-26_lib2_ref,ab_selection,,,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_21-26_lib2_ref*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_21-26_lib2_ref*R1*.fastq.gz
lib1,delta_17-20-none-0-ref,211112,delta_17-20,none,0.0,ref,delta_17-20_lib1_ref,ab_selection,,,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_17-20_lib1_ref*R1*.fastq.gz
lib2,delta_17-20-none-0-ref,211112,delta_17-20,none,0.0,ref,delta_17-20_lib2_ref,ab_selection,,,/shared/ngs/illumina/agreaney/211117_D00300_1372_BHNH7WBCX3/Unaligned/Project_agreaney/delta_17-20_lib2_ref*R1*.fastq.gz
lib1,delta_27-34-none-0-ref,211122,delta_27-34,none,0.0,ref,delta_27-34_lib1_ref,ab_selection,,,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_27-34_lib1_ref*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_27-34_lib1_ref*R1*.fastq.gz
lib2,delta_27-34-none-0-ref,211122,delta_27-34,none,0.0,ref,delta_27-34_lib2_ref,ab_selection,,,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_27-34_lib2_ref*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_27-34_lib2_ref*R1*.fastq.gz
lib1,delta_35-40-none-0-ref,211124,delta_35-40,none,0.0,ref,delta_35-40_lib1_ref,ab_selection,,,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_35-40_lib1_ref*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_35-40_lib1_ref*R1*.fastq.gz
lib2,delta_35-40-none-0-ref,211124,delta_35-40,none,0.0,ref,delta_35-40_lib2_ref,ab_selection,,,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_35-40_lib2_ref*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_35-40_lib2_ref*R1*.fastq.gz
lib1,delta_21-267C-200-abneg,211119,delta_21,267C,200.0,abneg,delta_21_lib1_abneg,ab_selection,1206433.0,0.112,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_21_lib1_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_21_lib1_abneg*R1*.fastq.gz
lib2,delta_21-267C-200-abneg,211119,delta_21,267C,200.0,abneg,delta_21_lib2_abneg,ab_selection,1078707.0,0.094,/shared/ngs/illumina/agreaney/211130_VH00699_22_AAANYJTM5/Unaligned/Project_agreaney/delta_21_lib2_abneg*R1*.fastq.gz; /shared/ngs/illumina/agreaney/211208_D00300_1390_AHNKGMBCX3/Unaligned/Project_agreaney/delta_21_lib2_abneg*R1*.fastq.gz
