library,run,ccs
lib1,211026_A,/fh/fast/bloom_j/SR/ngs/pacbio/211026_SequelIIe/2_B01/call-auto_ccs_outputs_barcoded/execution/demultiplex.bc1009_BAK8A_OA--bc1009_BAK8A_OA.hifi_reads.fastq.gz
lib2,211026_A,/fh/fast/bloom_j/SR/ngs/pacbio/211026_SequelIIe/2_B01/call-auto_ccs_outputs_barcoded/execution/demultiplex.bc1010_BAK8A_OA--bc1010_BAK8A_OA.hifi_reads.fastq.gz
