sample_lib,date,experiment,antibody,concentration,sort_bin,number_cells,counts,counts:cells,is_reference
"TiteSeq_09_bin1, lib1",210930,TiteSeq,monomeric_ACE2,9,1,1.03e+07,2.6e+07,2.52,False
"TiteSeq_09_bin2, lib1",210930,TiteSeq,monomeric_ACE2,9,2,2.3e+05,3.18e+05,1.38,False
"TiteSeq_09_bin3, lib1",210930,TiteSeq,monomeric_ACE2,9,3,1.13e+03,1.66e+03,1.48,False
"TiteSeq_09_bin4, lib1",210930,TiteSeq,monomeric_ACE2,9,4,306,2.39e+03,7.81,False
"TiteSeq_01_bin1, lib2",210930,TiteSeq,monomeric_ACE2,1,1,1.49e+06,2.03e+06,1.36,False
"TiteSeq_01_bin2, lib2",210930,TiteSeq,monomeric_ACE2,1,2,1.04e+06,1.85e+06,1.77,False
"TiteSeq_01_bin3, lib2",210930,TiteSeq,monomeric_ACE2,1,3,1.44e+06,2.53e+06,1.76,False
"TiteSeq_01_bin4, lib2",210930,TiteSeq,monomeric_ACE2,1,4,6.81e+06,1.61e+07,2.37,False
"TiteSeq_02_bin1, lib2",210930,TiteSeq,monomeric_ACE2,2,1,1.5e+06,3.04e+06,2.02,False
"TiteSeq_02_bin2, lib2",210930,TiteSeq,monomeric_ACE2,2,2,1.2e+06,1.08e+06,0.901,False
"TiteSeq_02_bin3, lib2",210930,TiteSeq,monomeric_ACE2,2,3,1.37e+06,2.98e+06,2.17,False
"TiteSeq_02_bin4, lib2",210930,TiteSeq,monomeric_ACE2,2,4,6.2e+06,5.75e+06,0.927,False
"TiteSeq_03_bin1, lib2",210930,TiteSeq,monomeric_ACE2,3,1,2.52e+06,6.45e+06,2.56,False
"TiteSeq_03_bin2, lib2",210930,TiteSeq,monomeric_ACE2,3,2,1.56e+06,2.88e+06,1.84,False
"TiteSeq_03_bin3, lib2",210930,TiteSeq,monomeric_ACE2,3,3,2.87e+06,4.97e+06,1.73,False
"TiteSeq_03_bin4, lib2",210930,TiteSeq,monomeric_ACE2,3,4,3.35e+06,5.92e+06,1.77,False
"TiteSeq_04_bin1, lib2",210930,TiteSeq,monomeric_ACE2,4,1,4e+06,8.94e+06,2.24,False
"TiteSeq_04_bin2, lib2",210930,TiteSeq,monomeric_ACE2,4,2,3.77e+06,6.88e+06,1.82,False
"TiteSeq_04_bin3, lib2",210930,TiteSeq,monomeric_ACE2,4,3,2.6e+06,4.28e+06,1.65,False
"TiteSeq_04_bin4, lib2",210930,TiteSeq,monomeric_ACE2,4,4,2.11e+04,2.72e+04,1.29,False
"TiteSeq_05_bin1, lib2",210930,TiteSeq,monomeric_ACE2,5,1,8.31e+06,1.56e+07,1.87,False
"TiteSeq_05_bin2, lib2",210930,TiteSeq,monomeric_ACE2,5,2,1.83e+06,3.62e+06,1.97,False
"TiteSeq_05_bin3, lib2",210930,TiteSeq,monomeric_ACE2,5,3,1.38e+04,6.56e+05,47.6,False
"TiteSeq_05_bin4, lib2",210930,TiteSeq,monomeric_ACE2,5,4,1.14e+03,1.38e+03,1.21,False
"TiteSeq_06_bin1, lib2",210930,TiteSeq,monomeric_ACE2,6,1,9.25e+06,2.08e+07,2.25,False
"TiteSeq_06_bin2, lib2",210930,TiteSeq,monomeric_ACE2,6,2,8.77e+05,1.3e+06,1.48,False
"TiteSeq_06_bin3, lib2",210930,TiteSeq,monomeric_ACE2,6,3,1.31e+03,2.55e+03,1.94,False
"TiteSeq_06_bin4, lib2",210930,TiteSeq,monomeric_ACE2,6,4,521,183,0.351,False
"TiteSeq_07_bin1, lib2",210930,TiteSeq,monomeric_ACE2,7,1,9.67e+06,2.29e+07,2.37,False
"TiteSeq_07_bin2, lib2",210930,TiteSeq,monomeric_ACE2,7,2,7.51e+05,1.6e+06,2.13,False
"TiteSeq_07_bin3, lib2",210930,TiteSeq,monomeric_ACE2,7,3,502,2.16e+03,4.29,False
"TiteSeq_07_bin4, lib2",210930,TiteSeq,monomeric_ACE2,7,4,461,290,0.629,False
"TiteSeq_08_bin1, lib2",210930,TiteSeq,monomeric_ACE2,8,1,9.59e+06,1.59e+07,1.66,False
"TiteSeq_08_bin2, lib2",210930,TiteSeq,monomeric_ACE2,8,2,5.97e+05,9.15e+05,1.53,False
"TiteSeq_08_bin3, lib2",210930,TiteSeq,monomeric_ACE2,8,3,450,1.35e+03,3,False
"TiteSeq_08_bin4, lib2",210930,TiteSeq,monomeric_ACE2,8,4,446,105,0.235,False
"TiteSeq_09_bin1, lib2",210930,TiteSeq,monomeric_ACE2,9,1,9.78e+06,1.2e+07,1.22,False
"TiteSeq_09_bin2, lib2",210930,TiteSeq,monomeric_ACE2,9,2,3.66e+05,4.83e+05,1.32,False
"TiteSeq_09_bin3, lib2",210930,TiteSeq,monomeric_ACE2,9,3,572,310,0.542,False
"TiteSeq_09_bin4, lib2",210930,TiteSeq,monomeric_ACE2,9,4,587,145,0.247,False
"SortSeq_bin1, lib1",210927,SortSeq,,,1,3.5e+06,7.31e+06,2.09,False
"SortSeq_bin2, lib1",210927,SortSeq,,,2,5.25e+06,9.74e+06,1.86,False
"SortSeq_bin3, lib1",210927,SortSeq,,,3,4.06e+06,1.11e+07,2.73,False
"SortSeq_bin4, lib1",210927,SortSeq,,,4,5.02e+06,1.11e+07,2.21,False
"SortSeq_bin1, lib2",210927,SortSeq,,,1,3.11e+06,6.76e+06,2.17,False
"SortSeq_bin2, lib2",210927,SortSeq,,,2,4.55e+06,1.24e+07,2.72,False
"SortSeq_bin3, lib2",210927,SortSeq,,,3,4.05e+06,8.39e+06,2.07,False
"SortSeq_bin4, lib2",210927,SortSeq,,,4,5.35e+06,1.19e+07,2.22,False
"delta_17-20-none-0-ref, lib1",211112,delta_17-20,none,0,ref,,4.81e+07,,True
"delta_17-20-none-0-ref, lib2",211112,delta_17-20,none,0,ref,,4.76e+07,,True
"delta_17-P03-1250-abneg, lib1",211112,delta_17,P03,1.25e+03,abneg,1.02e+06,5.33e+06,5.22,False
"delta_17-P03-1250-abneg, lib2",211112,delta_17,P03,1.25e+03,abneg,1.01e+06,4.67e+06,4.61,False
"delta_18-P08-500-abneg, lib1",211112,delta_18,P08,500,abneg,1.02e+06,4.81e+06,4.74,False
"delta_18-P08-500-abneg, lib2",211112,delta_18,P08,500,abneg,1.05e+06,5.3e+06,5.07,False
"delta_19-268C-500-abneg, lib1",211112,delta_19,268C,500,abneg,1.01e+06,4.51e+06,4.45,False
"delta_19-268C-500-abneg, lib2",211112,delta_19,268C,500,abneg,1.02e+06,4.87e+06,4.76,False
"delta_20-279C-1250-abneg, lib1",211112,delta_20,279C,1.25e+03,abneg,1.03e+06,5.34e+06,5.21,False
"delta_20-279C-1250-abneg, lib2",211112,delta_20,279C,1.25e+03,abneg,1.08e+06,5.88e+06,5.46,False
"delta_21-26-none-0-ref, lib1",211119,delta_21-26,none,0,ref,,3.57e+07,,True
"delta_21-26-none-0-ref, lib2",211119,delta_21-26,none,0,ref,,3.23e+07,,True
"delta_21-267C-200-abneg, lib1",211119,delta_21,267C,200,abneg,1.21e+06,4.19e+06,3.47,False
"delta_21-267C-200-abneg, lib2",211119,delta_21,267C,200,abneg,1.08e+06,4.05e+06,3.75,False
"delta_22-273C-500-abneg, lib1",211119,delta_22,273C,500,abneg,1.27e+06,4.22e+06,3.33,False
"delta_22-273C-500-abneg, lib2",211119,delta_22,273C,500,abneg,1.25e+06,4e+06,3.2,False
"delta_23-274C-500-abneg, lib1",211119,delta_23,274C,500,abneg,1.23e+06,4.42e+06,3.59,False
"delta_23-274C-500-abneg, lib2",211119,delta_23,274C,500,abneg,1.09e+06,3.76e+06,3.43,False
"delta_24-276C-500-abneg, lib1",211119,delta_24,276C,500,abneg,1.26e+06,4.21e+06,3.33,False
"delta_24-276C-500-abneg, lib2",211119,delta_24,276C,500,abneg,1.09e+06,4.33e+06,3.97,False
"delta_25-277C-500-abneg, lib1",211119,delta_25,277C,500,abneg,1.14e+06,4.44e+06,3.9,False
"delta_25-277C-500-abneg, lib2",211119,delta_25,277C,500,abneg,1.14e+06,4.14e+06,3.65,False
"delta_26-278C-1250-abneg, lib1",211119,delta_26,278C,1.25e+03,abneg,1.11e+06,3.96e+06,3.58,False
"delta_26-278C-1250-abneg, lib2",211119,delta_26,278C,1.25e+03,abneg,1.11e+06,3.73e+06,3.37,False
"delta_27-34-none-0-ref, lib1",211122,delta_27-34,none,0,ref,,2.87e+07,,True
"delta_27-34-none-0-ref, lib2",211122,delta_27-34,none,0,ref,,3.12e+07,,True
"delta_27-Delta_1-500-abneg, lib1",211122,delta_27,Delta_1,500,abneg,1.06e+06,3.63e+06,3.41,False
"delta_27-Delta_1-500-abneg, lib2",211122,delta_27,Delta_1,500,abneg,1.04e+06,3.8e+06,3.63,False
"delta_28-Delta_3-350-abneg, lib1",211122,delta_28,Delta_3,350,abneg,1.03e+06,3.82e+06,3.7,False
"delta_28-Delta_3-350-abneg, lib2",211122,delta_28,Delta_3,350,abneg,1.18e+06,4.11e+06,3.48,False
"delta_29-Delta_4-350-abneg, lib1",211122,delta_29,Delta_4,350,abneg,7.01e+05,2.47e+06,3.52,False
"delta_29-Delta_4-350-abneg, lib2",211122,delta_29,Delta_4,350,abneg,6.94e+05,2.38e+06,3.44,False
"delta_30-Delta_6-500-abneg, lib1",211122,delta_30,Delta_6,500,abneg,1.09e+06,3.87e+06,3.54,False
"delta_30-Delta_6-500-abneg, lib2",211122,delta_30,Delta_6,500,abneg,1.09e+06,3.98e+06,3.65,False
"delta_31-Delta_7-1250-abneg, lib1",211122,delta_31,Delta_7,1.25e+03,abneg,1.23e+06,4.29e+06,3.48,False
"delta_31-Delta_7-1250-abneg, lib2",211122,delta_31,Delta_7,1.25e+03,abneg,9.26e+05,3.11e+06,3.36,False
"delta_32-Delta_8-500-abneg, lib1",211122,delta_32,Delta_8,500,abneg,1.02e+06,3.83e+06,3.74,False
"delta_32-Delta_8-500-abneg, lib2",211122,delta_32,Delta_8,500,abneg,9.67e+05,2.8e+06,2.89,False
"delta_33-Delta_10-1250-abneg, lib1",211122,delta_33,Delta_10,1.25e+03,abneg,8.47e+05,2.94e+06,3.48,False
"delta_33-Delta_10-1250-abneg, lib2",211122,delta_33,Delta_10,1.25e+03,abneg,7.49e+05,2.47e+06,3.3,False
"delta_34-Delta_11-500-abneg, lib1",211122,delta_34,Delta_11,500,abneg,1.02e+06,3.48e+06,3.42,False
"delta_34-Delta_11-500-abneg, lib2",211122,delta_34,Delta_11,500,abneg,8.48e+05,3.02e+06,3.56,False
"delta_35-40-none-0-ref, lib1",211124,delta_35-40,none,0,ref,,2.47e+07,,True
"delta_35-40-none-0-ref, lib2",211124,delta_35-40,none,0,ref,,2.94e+07,,True
"delta_35-P02-500-abneg, lib1",211124,delta_35,P02,500,abneg,9.27e+05,3.39e+06,3.66,False
"delta_35-P02-500-abneg, lib2",211124,delta_35,P02,500,abneg,8.08e+05,2.34e+06,2.9,False
"delta_36-P04-1250-abneg, lib1",211124,delta_36,P04,1.25e+03,abneg,1.08e+06,3.35e+06,3.1,False
"delta_36-P04-1250-abneg, lib2",211124,delta_36,P04,1.25e+03,abneg,8.75e+05,2.96e+06,3.38,False
"delta_37-P05-500-abneg, lib1",211124,delta_37,P05,500,abneg,9.1e+05,2.95e+06,3.25,False
"delta_37-P05-500-abneg, lib2",211124,delta_37,P05,500,abneg,8.92e+05,3.21e+06,3.6,False
"delta_38-P09-200-abneg, lib1",211124,delta_38,P09,200,abneg,9.65e+05,3.54e+06,3.67,False
"delta_38-P09-200-abneg, lib2",211124,delta_38,P09,200,abneg,9.05e+05,2.53e+06,2.79,False
"delta_39-P12-200-abneg, lib1",211124,delta_39,P12,200,abneg,1.02e+06,3.14e+06,3.09,False
"delta_39-P12-200-abneg, lib2",211124,delta_39,P12,200,abneg,9.65e+05,3.25e+06,3.37,False
"delta_40-P14-1250-abneg, lib1",211124,delta_40,P14,1.25e+03,abneg,9.53e+05,3.08e+06,3.23,False
"delta_40-P14-1250-abneg, lib2",211124,delta_40,P14,1.25e+03,abneg,8.73e+05,4.01e+06,4.6,False
