sample_lib,date,experiment,antibody,concentration,sort_bin,number_cells,counts,counts:cells,is_reference
"TiteSeq_01_bin1, lib1",210930,TiteSeq,monomeric_ACE2,1,1,1.05e+06,2.15e+06,2.04,False
"TiteSeq_01_bin2, lib1",210930,TiteSeq,monomeric_ACE2,1,2,6.25e+05,1.46e+06,2.34,False
"TiteSeq_01_bin3, lib1",210930,TiteSeq,monomeric_ACE2,1,3,1.28e+06,2.74e+06,2.14,False
"TiteSeq_01_bin4, lib1",210930,TiteSeq,monomeric_ACE2,1,4,8.09e+06,1.63e+07,2.02,False
"TiteSeq_02_bin1, lib1",210930,TiteSeq,monomeric_ACE2,2,1,1.3e+06,2.39e+06,1.84,False
"TiteSeq_02_bin2, lib1",210930,TiteSeq,monomeric_ACE2,2,2,7.52e+05,1.49e+06,1.98,False
"TiteSeq_02_bin3, lib1",210930,TiteSeq,monomeric_ACE2,2,3,1.38e+06,2.44e+06,1.77,False
"TiteSeq_02_bin4, lib1",210930,TiteSeq,monomeric_ACE2,2,4,7.53e+06,1.69e+07,2.25,False
"TiteSeq_03_bin1, lib1",210930,TiteSeq,monomeric_ACE2,3,1,1.91e+06,4.23e+06,2.22,False
"TiteSeq_03_bin2, lib1",210930,TiteSeq,monomeric_ACE2,3,2,1.01e+06,2.22e+06,2.19,False
"TiteSeq_03_bin3, lib1",210930,TiteSeq,monomeric_ACE2,3,3,2.83e+06,6.19e+06,2.19,False
"TiteSeq_03_bin4, lib1",210930,TiteSeq,monomeric_ACE2,3,4,5.16e+06,5.64e+06,1.09,False
"TiteSeq_04_bin1, lib1",210930,TiteSeq,monomeric_ACE2,4,1,3.97e+06,9.05e+06,2.28,False
"TiteSeq_04_bin2, lib1",210930,TiteSeq,monomeric_ACE2,4,2,5.06e+06,6.67e+06,1.32,False
"TiteSeq_04_bin3, lib1",210930,TiteSeq,monomeric_ACE2,4,3,2.54e+06,3.41e+06,1.34,False
"TiteSeq_04_bin4, lib1",210930,TiteSeq,monomeric_ACE2,4,4,2.12e+04,3.05e+04,1.44,False
"TiteSeq_05_bin1, lib1",210930,TiteSeq,monomeric_ACE2,5,1,8.76e+06,1.72e+07,1.97,False
"TiteSeq_05_bin2, lib1",210930,TiteSeq,monomeric_ACE2,5,2,1.39e+06,3.37e+06,2.43,False
"TiteSeq_05_bin3, lib1",210930,TiteSeq,monomeric_ACE2,5,3,1.51e+04,1.83e+04,1.22,False
"TiteSeq_05_bin4, lib1",210930,TiteSeq,monomeric_ACE2,5,4,1.18e+03,2.84e+03,2.42,False
"TiteSeq_06_bin1, lib1",210930,TiteSeq,monomeric_ACE2,6,1,1.09e+07,2.01e+07,1.85,False
"TiteSeq_06_bin2, lib1",210930,TiteSeq,monomeric_ACE2,6,2,3.62e+05,6.06e+05,1.68,False
"TiteSeq_06_bin3, lib1",210930,TiteSeq,monomeric_ACE2,6,3,2.82e+03,3.9e+04,13.8,False
"TiteSeq_06_bin4, lib1",210930,TiteSeq,monomeric_ACE2,6,4,420,2.18e+04,52,False
"TiteSeq_07_bin1, lib1",210930,TiteSeq,monomeric_ACE2,7,1,1.07e+07,2.26e+07,2.11,False
"TiteSeq_07_bin2, lib1",210930,TiteSeq,monomeric_ACE2,7,2,3.18e+05,9.23e+05,2.9,False
"TiteSeq_07_bin3, lib1",210930,TiteSeq,monomeric_ACE2,7,3,1.75e+03,4.48e+04,25.6,False
"TiteSeq_07_bin4, lib1",210930,TiteSeq,monomeric_ACE2,7,4,379,8.89e+03,23.5,False
"TiteSeq_08_bin1, lib1",210930,TiteSeq,monomeric_ACE2,8,1,1.05e+07,2.13e+07,2.02,False
"TiteSeq_08_bin2, lib1",210930,TiteSeq,monomeric_ACE2,8,2,2.73e+05,3.49e+05,1.28,False
"TiteSeq_08_bin3, lib1",210930,TiteSeq,monomeric_ACE2,8,3,1.36e+03,3.4e+04,25,False
"TiteSeq_08_bin4, lib1",210930,TiteSeq,monomeric_ACE2,8,4,326,774,2.37,False
