virus,sample_type,geomean_fold_change,geomean_NT50,gstd,sample_size,upper_error,lower_error
D614G,2x BNT162b2,0.41228439109824566,1614.7968417370232,2.2051430191063774,8,3560.8579828314228,732.286671542697
D614G,Delta breakthrough,0.3242719948864449,7758.108234443658,2.7386157808386384,8,21246.47764030159,2832.857492724998
D614G,primary Delta infection,2.4543383062128714,1984.4149611844596,2.8199674139612765,8,5595.985526317408,703.7013801506677
D614G RBD Abs depleted (x D614G PV),2x BNT162b2,26.63022130571675,24.999999999999996,1.0,8,24.999999999999996,24.999999999999996
D614G RBD Abs depleted (x D614G PV),Delta breakthrough,45.24271697250148,55.60535268598176,2.332077488506313,8,129.6759912394321,23.843698573496706
D614G RBD Abs depleted (x D614G PV),primary Delta infection,142.9471485548525,34.07151317039416,1.6058719750515236,8,54.71448814793487,21.21683029514292
Delta,2x BNT162b2,1.0036040246338382,663.3647497436227,2.890681096651055,8,1917.575942268548,229.48389239897534
Delta,Delta breakthrough,1.0013357547071764,2512.381308568855,2.669072321900291,8,6705.727412760765,941.2938300525789
Delta,primary Delta infection,1.0014297214539205,4863.472244049084,1.9755755462225122,8,9608.156835075297,2461.800184431572
Delta + E484K,2x BNT162b2,3.2084033227386,207.5036912985894,2.1249668475878107,8,440.93846476159774,97.65031936104812
Delta + E484K,Delta breakthrough,3.259109427746238,771.9094094572022,2.4641793296352783,8,1902.123211135412,313.2521242159157
Delta + E484K,primary Delta infection,8.403560674443238,579.5669054272199,2.59292446395478,8,1502.7732075808049,223.51862288469945
Delta + K417N,2x BNT162b2,3.483359027625064,191.1245804302944,2.7630881764638024,8,528.0940684185515,69.17064104515674
Delta + K417N,Delta breakthrough,2.608849777561248,964.3089668734043,2.9596338113802956,8,2854.001422975729,325.8203643861184
Delta + K417N,primary Delta infection,2.178660203037058,2235.514123711243,2.3007738394794996,8,5143.412413621766,971.6357537414367
Delta RBD Abs depleted (x D614G PV),2x BNT162b2,2.9152474246554934,228.37016405960588,1.8354154106606315,8,419.1541184500973,124.42423809518266
Delta RBD Abs depleted (x D614G PV),Delta breakthrough,21.777748503820913,115.5187017283541,2.369658822956581,8,273.7399107670839,48.749085990456415
Delta RBD Abs depleted (x D614G PV),primary Delta infection,101.59754482473568,47.938418817687406,1.8971481426007053,8,90.94628221919037,25.268674459956
Delta RBD Abs depleted (x Delta PV),2x BNT162b2,26.63022130571675,24.999999999999996,1.0,8,24.999999999999996,24.999999999999996
Delta RBD Abs depleted (x Delta PV),Delta breakthrough,95.93937636508177,26.222155376065476,1.1169842469474212,8,29.289734476072766,23.475850664615336
Delta RBD Abs depleted (x Delta PV),primary Delta infection,86.62855637517656,56.2219417990044,2.2199462427610843,8,124.80968845743217,25.325812272407866
