plasmid,replicate,virus,dilution,uL_virus,RLU_per_well,date,date_rescued,cell_type
,rep1,Delta_WT,0.1,10,344077,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.05,5,207846,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.025,2.5,59660,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.0125,1.25,33656,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.00625,0.625,13816,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.003125,0.3125,11057,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.0015625,0.15625,5764,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.00078125,0.078125,1829,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.1,10,365655,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.05,5,156199,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.025,2.5,93276,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.0125,1.25,41933,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.00625,0.625,18242,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.003125,0.3125,6713,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.0015625,0.15625,3387,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.00078125,0.078125,5067,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.1,10,452318,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.05,5,192271,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.025,2.5,82847,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.0125,1.25,61522,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.00625,0.625,11556,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.003125,0.3125,7546,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.0015625,0.15625,2634,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.00078125,0.078125,2959,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.1,10,359520,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.05,5,174215,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.025,2.5,73218,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.0125,1.25,45436,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.00625,0.625,10938,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.003125,0.3125,9797,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.0015625,0.15625,8388,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.00078125,0.078125,7276,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.1,10,381151,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.05,5,189250,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.025,2.5,89512,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.0125,1.25,32249,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.00625,0.625,8860,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.003125,0.3125,6229,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.0015625,0.15625,4294,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.00078125,0.078125,545,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.1,10,330314,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.05,5,176427,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.025,2.5,65105,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.0125,1.25,36040,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.00625,0.625,15713,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.003125,0.3125,11522,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.0015625,0.15625,9028,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.00078125,0.078125,373,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.1,10,185867,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.05,5,96983,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.025,2.5,41488,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.0125,1.25,22681,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.00625,0.625,16666,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.003125,0.3125,8014,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.0015625,0.15625,3306,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.00078125,0.078125,2020,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.1,10,187772,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.05,5,60366,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.025,2.5,22247,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.0125,1.25,22328,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.00625,0.625,11140,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.003125,0.3125,6904,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.0015625,0.15625,1511,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.00078125,0.078125,717,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.1,10,106258,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.05,5,45065,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.025,2.5,11315,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.0125,1.25,10557,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.00625,0.625,5899,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.003125,0.3125,3440,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.0015625,0.15625,61,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.00078125,0.078125,504,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.1,10,86852,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.05,5,54520,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.025,2.5,21856,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.0125,1.25,10897,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.00625,0.625,6248,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.003125,0.3125,2720,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.0015625,0.15625,2064,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.00078125,0.078125,980,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
