plasmid,replicate,virus,dilution,uL_virus,RLU_per_well,date,date_rescued,cell_type
,rep1,Delta_K417N,0.1,10,76494,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.05,5,47057,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.025,2.5,28448,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.0125,1.25,8180,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.00625,0.625,3254,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.003125,0.3125,5406,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.0015625,0.15625,541,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.00078125,0.078125,610,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.1,10,106883,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.05,5,60291,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.025,2.5,25351,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.0125,1.25,10937,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.00625,0.625,4613,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.003125,0.3125,3019,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.0015625,0.15625,2964,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.00078125,0.078125,588,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.1,10,287849,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.05,5,98347,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.025,2.5,62875,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.0125,1.25,28386,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.00625,0.625,17710,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.003125,0.3125,5992,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.0015625,0.15625,1109,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.00078125,0.078125,3303,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.1,10,261349,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.05,5,125146,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.025,2.5,51011,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.0125,1.25,28506,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.00625,0.625,15229,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.003125,0.3125,6194,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.0015625,0.15625,2752,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.00078125,0.078125,1207,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,VSV-G,0.1,10,2563393,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,VSV-G,0.05,5,1410469,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,VSV-G,0.025,2.5,837693,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,VSV-G,0.0125,1.25,459585,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,VSV-G,0.00625,0.625,191689,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,VSV-G,0.003125,0.3125,99931,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,VSV-G,0.0015625,0.15625,40571,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,VSV-G,0.00078125,0.078125,12379,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,No_VEP,0.1,10,11,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,No_VEP,0.05,5,10,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,No_VEP,0.025,2.5,0,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,No_VEP,0.0125,1.25,8,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,No_VEP,0.00625,0.625,5,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,No_VEP,0.003125,0.3125,6,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,No_VEP,0.0015625,0.15625,2,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,No_VEP,0.00078125,0.078125,7,12-Nov-21,5-Nov-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.1,10,93176,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.05,5,33472,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.025,2.5,20439,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.0125,1.25,7989,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.00625,0.625,3723,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.003125,0.3125,2430,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.0015625,0.15625,65,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.00078125,0.078125,233,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.1,10,213292,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.05,5,53524,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.025,2.5,20443,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.0125,1.25,8700,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.00625,0.625,3564,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.003125,0.3125,1314,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.0015625,0.15625,631,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.00078125,0.078125,1383,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.1,10,155453,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.05,5,39793,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.025,2.5,17888,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.0125,1.25,9943,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.00625,0.625,3875,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.003125,0.3125,1538,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.0015625,0.15625,4440,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K417N,0.00078125,0.078125,43,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.1,10,242190,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.05,5,50785,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.025,2.5,24132,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.0125,1.25,11204,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.00625,0.625,11563,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.003125,0.3125,633,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.0015625,0.15625,1797,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K417N,0.00078125,0.078125,1613,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.1,10,211333,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.05,5,91974,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.025,2.5,45946,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.0125,1.25,30525,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.00625,0.625,6624,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.003125,0.3125,6149,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.0015625,0.15625,3483,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484K,0.00078125,0.078125,30,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.1,10,327180,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.05,5,83042,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.025,2.5,47742,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.0125,1.25,22972,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.00625,0.625,18305,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.003125,0.3125,9194,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.0015625,0.15625,4171,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484K,0.00078125,0.078125,3074,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.1,10,52206,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.05,5,23216,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.025,2.5,10017,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.0125,1.25,3851,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.00625,0.625,2515,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.003125,0.3125,2250,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.0015625,0.15625,1635,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_E484Q,0.00078125,0.078125,0,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.1,10,46410,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.05,5,22061,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.025,2.5,18024,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.0125,1.25,8258,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.00625,0.625,1602,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.003125,0.3125,2980,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.0015625,0.15625,19,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_E484Q,0.00078125,0.078125,949,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R452L,0.1,10,395098,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R452L,0.05,5,137509,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R452L,0.025,2.5,75380,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R452L,0.0125,1.25,50997,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R452L,0.00625,0.625,11436,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R452L,0.003125,0.3125,13675,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R452L,0.0015625,0.15625,1802,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R452L,0.00078125,0.078125,1390,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R452L,0.1,10,404254,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R452L,0.05,5,150192,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R452L,0.025,2.5,64203,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R452L,0.0125,1.25,35711,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R452L,0.00625,0.625,21039,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R452L,0.003125,0.3125,8025,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R452L,0.0015625,0.15625,4803,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R452L,0.00078125,0.078125,2333,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R346G,0.1,10,239892,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R346G,0.05,5,114122,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R346G,0.025,2.5,45992,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R346G,0.0125,1.25,24376,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R346G,0.00625,0.625,9065,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R346G,0.003125,0.3125,6913,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R346G,0.0015625,0.15625,2639,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_R346G,0.00078125,0.078125,438,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R346G,0.1,10,330993,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R346G,0.05,5,173725,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R346G,0.025,2.5,59299,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R346G,0.0125,1.25,48681,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R346G,0.00625,0.625,18709,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R346G,0.003125,0.3125,7512,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R346G,0.0015625,0.15625,4419,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_R346G,0.00078125,0.078125,298,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.1,10,379278,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.05,5,141011,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.025,2.5,67229,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.0125,1.25,46624,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.00625,0.625,17676,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.003125,0.3125,4667,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.0015625,0.15625,3382,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_K444N,0.00078125,0.078125,1430,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.1,10,497284,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.05,5,189984,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.025,2.5,101036,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.0125,1.25,37143,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.00625,0.625,13092,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.003125,0.3125,13516,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.0015625,0.15625,8908,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_K444N,0.00078125,0.078125,4332,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.1,10,289368,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.05,5,120827,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.025,2.5,71762,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.0125,1.25,30603,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.00625,0.625,20832,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.003125,0.3125,6252,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
